"","LIT_Strat","st_g_m2","SE","lower.CL","upper.CL"
"1","KRN_a.Low",26.147784483847,0.237787035965045,3.76362811634068,4.69924192197192
"2","KRN_b.Med",102.23688088581,0.280934422570976,6.17473440338837,7.28011898908581
"3","KRN_c.High",341.694154187541,0.328996708176924,8.7670587099042,10.0615525872862
"4","MDC_a.Low",19.3962073232427,0.374579230094634,3.01378087601891,4.48762699028216
"5","MDC_b.Med",58.9657073879864,0.870443471995031,3.94461512617146,7.36952399941993
"6","MDC_c.High",313.056623467779,0.34407299324116,8.52538755982081,9.87920166206907
"7","PIX_a.Low",25.4367577557811,0.257803106894492,3.67895303049318,4.69332349424112
"8","PIX_b.Med",165.948815347032,0.648790257983939,6.47054983211634,9.02332618455826
"9","SLW_a.Low",12.4057150805684,0.293426434550538,2.4938777629341,3.64841430858073
"10","SLW_b.Med",51.9736314216827,0.68814598648232,4.07019940186294,6.77782760635946
"11","SLW_c.High",252.446598558043,1.37629197296464,5.98536388399288,11.4006202929859
