LIT,diff.name,mean.a,mean.b,mean.diff,var.a,var.b,sd.diff,tcalc,approx_p_value
KRN,KRN_4A_4A-2 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-3 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-4 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-5 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-6 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-7 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-2 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-3 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-4 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-1 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-3 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-4 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-5 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-6 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-7 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-1 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-2 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-3 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-7 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-8 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-1 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-2 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-3 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-4 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-5 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-3 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-4 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-5 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-6 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-7 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-2 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-3 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-4 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-1 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-3 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-4 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-5 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-6 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-7 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-1 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-2 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-3 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-7 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-8 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-1 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-2 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-3 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-4 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-5 vs. KRN_4A_4A-2,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-4 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-5 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-6 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-7 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-2 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-3 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
KRN,KRN_4B_4B-4 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-1 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-3 vs. KRN_4A_4A-3,0,0,0,0,0,0,NA,NA
